latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
23.69555,85.28658,307.46,0.41,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,286.86,1.02,N
23.65649,85.50642,309.43,0.41,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,287.8,1.28,N
23.67597,85.32473,303.55,0.41,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,281.79,0.56,N
23.64879,85.43953,324.61,0.41,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,288.73,2.69,N
23.64938,85.43553,314.88,0.41,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,288.62,2.11,N
23.64538,85.43893,323.94,0.41,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,288.4,2.6,N
23.1645,82.33836,304.63,0.55,0.43,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,267.28,1.72,N
22.3799,87.27829,303.78,0.38,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,277.45,0.73,N
22.3766,87.27768,325.56,0.38,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,278.65,3.12,N
22.37601,87.28139,314.12,0.38,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,278.2,1.19,N
22.36645,87.29871,303.72,0.38,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,278.34,1.57,N
22.36585,87.30242,312.71,0.38,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,278.35,0.96,N
22.36255,87.30181,310.9,0.38,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,277.91,0.96,N
22.35773,87.28947,308.72,0.38,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,276.15,1.01,N
22.36079,87.01614,308.55,0.38,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,276.7,1.21,N
22.24395,87.38752,304.81,0.38,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,274.84,1.09,N
22.33086,82.60378,300.67,0.52,0.42,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,268.19,0.93,N
22.35836,82.30158,308.46,0.54,0.42,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,274.28,2.25,N
22.32017,82.56593,302.71,0.53,0.42,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,269.35,1.55,N
22.3195,82.57103,297.42,0.52,0.42,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,268.19,0.63,N
22.31699,82.56023,305.32,0.53,0.42,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,270.14,1.67,N
20.97377,86.00666,309.01,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,279.29,1.63,N
20.96381,86.00493,307.5,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,274.9,1.13,N
20.95089,86.04455,297.51,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,270.96,0.94,N
21.38916,81.64533,307.65,0.38,0.43,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,288.11,3.06,N
21.37675,81.67848,305.17,0.57,0.43,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,285.35,3.46,N
21.37762,81.63985,304.99,0.38,0.43,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,287.48,2.14,N
20.76011,85.29779,296.28,0.4,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,271.2,0.35,N
21.19393,81.39698,309.9,0.39,0.44,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,284.98,0.8,N
21.18678,81.38819,307.31,0.39,0.44,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,285.07,0.74,N
11.28438,79.75117,315.05,0.56,0.43,2026-08-01,2004,SNPP,SNPP,n,2.0NRT,290.22,2.23,N
11.65214,78.03033,304.86,0.48,0.48,2026-08-01,2004,SNPP,SNPP,n,2.0NRT,281.41,0.83,N
17.13722,77.17518,302.76,0.32,0.55,2026-08-01,2004,SNPP,SNPP,n,2.0NRT,286.98,0.65,N
11.80772,77.92508,305.82,0.49,0.49,2026-08-01,2004,SNPP,SNPP,n,2.0NRT,281.73,1.05,N
11.81063,77.9237,307.7,0.49,0.49,2026-08-01,2004,SNPP,SNPP,n,2.0NRT,281.93,1.56,N
11.17522,79.08694,307.05,0.4,0.45,2026-08-01,2006,SNPP,SNPP,n,2.0NRT,289.7,2.63,N
8.82639,78.08728,349.32,0.44,0.46,2026-08-01,2006,SNPP,SNPP,n,2.0NRT,290.19,22.26,N
