latitude,longitude,brightness,confidence,satellite,acq_date,acq_time
29.47335,76.85711,305.34,60,VIIRS,2026-08-20,2008
29.45779,76.86746,324.8,60,VIIRS,2026-08-20,2008
28.13022,76.89521,307.03,60,VIIRS,2026-08-20,2008
28.71263,76.83237,301.89,60,VIIRS,2026-08-20,2008
28.71234,76.83447,303.17,60,VIIRS,2026-08-20,2008
28.74317,76.92706,301.97,60,VIIRS,2026-08-20,2008
29.45455,76.86482,306.95,60,VIIRS,2026-08-20,2008
29.45899,76.86539,343.34,60,VIIRS,2026-08-20,2008
29.45827,76.86245,339.56,60,VIIRS,2026-08-20,2008
29.04118,75.70134,349.66,60,VIIRS,2026-08-21,726
29.45864,76.85911,330.26,60,VIIRS,2026-08-22,705
29.45838,76.86343,367.0,90,VIIRS,2026-08-22,705
29.46,76.86426,367.0,90,VIIRS,2026-08-22,705
29.45823,76.87273,350.27,60,VIIRS,2026-08-22,845
29.45762,76.86265,329.18,60,VIIRS,2026-08-22,845
29.45525,76.87004,329.19,60,VIIRS,2026-08-22,845
29.45792,76.86768,352.46,60,VIIRS,2026-08-22,845
29.45938,76.8674,332.56,60,VIIRS,2026-08-23,828
29.47683,76.85993,341.77,60,VIIRS,2026-08-23,828
29.47537,76.8596,306.94,60,VIIRS,2026-08-23,2053
29.45843,76.89032,307.74,60,VIIRS,2026-08-23,2053
29.45481,76.86952,332.79,60,VIIRS,2026-08-23,2053
29.35825,76.95921,307.37,60,VIIRS,2026-08-23,2053
29.12311,75.77846,310.56,60,VIIRS,2026-08-23,2053
29.12299,75.77946,309.56,60,VIIRS,2026-08-24,2034
28.70671,76.85614,306.17,60,VIIRS,2026-08-25,2014
29.45728,76.87041,308.61,60,VIIRS,2026-08-27,2118
29.45856,76.89088,334.02,60,VIIRS,2026-08-29,816
28.35046,77.2559,305.23,60,VIIRS,2026-08-29,2040
28.37196,77.2264,322.5,60,VIIRS,2026-08-29,2040
28.74562,76.92708,301.37,60,VIIRS,2026-08-29,2040
29.43284,77.00395,329.48,60,VIIRS,2026-08-29,2040
29.45788,76.89092,321.48,60,VIIRS,2026-08-29,2040
29.46117,76.89161,328.7,60,VIIRS,2026-08-29,2040
29.47605,76.85793,329.76,60,VIIRS,2026-09-03,2046
29.47612,76.85525,303.57,60,VIIRS,2026-09-05,2008
29.45851,76.86754,302.22,48,MODIS,2026-08-10,2254
29.45206,76.86165,321.58,65,MODIS,2026-08-22,1015
29.45829,76.86964,319.27,98,MODIS,2026-08-22,1526
29.45693,76.85818,311.35,78,MODIS,2026-08-22,1526
29.65053,76.97887,303.85,57,MODIS,2026-08-26,2312
29.47635,76.85744,313.34,60,VIIRS,2026-08-02,2123
29.45936,76.88863,301.32,60,VIIRS,2026-08-02,2123
29.12459,75.77742,305.13,60,VIIRS,2026-08-04,2044
27.66929,76.13332,305.1,60,VIIRS,2026-08-08,2110
29.47577,76.85696,307.79,60,VIIRS,2026-08-09,2051
28.74297,76.93353,308.59,60,VIIRS,2026-08-09,2051
28.37205,77.22668,305.23,60,VIIRS,2026-08-09,2051
28.65111,77.58927,306.15,60,VIIRS,2026-08-11,2014
28.6487,77.58789,307.21,60,VIIRS,2026-08-11,2014
28.34927,77.25589,306.44,60,VIIRS,2026-08-11,2014
27.5312,77.66014,312.08,60,VIIRS,2026-08-18,1942
27.53036,77.65813,311.81,60,VIIRS,2026-08-18,1942
29.12563,75.77744,307.57,60,VIIRS,2026-08-19,2104
29.45876,76.86543,316.16,60,VIIRS,2026-08-20,2044
28.77214,76.70122,310.21,60,VIIRS,2026-08-20,2044
28.27534,77.18294,302.62,60,VIIRS,2026-08-20,2044
27.79252,75.33192,306.87,60,VIIRS,2026-08-20,2046
28.77367,77.56798,309.15,60,VIIRS,2026-08-21,2025
29.46118,76.86392,339.97,60,VIIRS,2026-08-22,741
29.46026,76.85947,330.53,60,VIIRS,2026-08-22,741
29.45699,76.86504,346.56,60,VIIRS,2026-08-22,741
29.45792,76.8695,330.42,60,VIIRS,2026-08-22,741
28.66381,77.57708,314.6,60,VIIRS,2026-08-22,2008
28.34062,77.22081,299.75,60,VIIRS,2026-08-22,2008
29.45837,76.8635,335.25,60,VIIRS,2026-08-23,724
29.45934,76.86684,311.09,60,VIIRS,2026-08-23,1947
29.45968,76.85906,307.01,60,VIIRS,2026-08-23,1947
29.45605,76.86481,326.44,60,VIIRS,2026-08-23,1947
29.35946,76.95735,305.21,60,VIIRS,2026-08-23,2127
27.66743,76.13509,303.8,60,VIIRS,2026-08-23,2127
29.45798,76.88937,307.07,60,VIIRS,2026-08-23,2127
29.45706,76.87043,345.96,60,VIIRS,2026-08-23,2127
29.45788,76.86697,309.22,60,VIIRS,2026-08-23,2127
29.45879,76.8923,303.48,60,VIIRS,2026-08-24,2110
29.457,76.86609,334.4,60,VIIRS,2026-08-27,2014
29.47338,76.864,304.0,60,VIIRS,2026-08-27,2155
28.37428,77.22549,303.85,60,VIIRS,2026-08-29,2116
29.45932,76.89091,330.32,60,VIIRS,2026-08-29,2116
29.12339,75.77961,313.16,60,VIIRS,2026-08-29,2116
27.66938,76.12862,299.11,60,VIIRS,2026-08-30,2057
27.66868,76.13271,296.11,60,VIIRS,2026-08-30,2057
29.4759,76.85623,311.77,60,VIIRS,2026-08-30,2057
29.45914,76.89161,316.03,60,VIIRS,2026-08-30,2057
28.74306,76.92912,316.04,60,VIIRS,2026-08-30,2057
28.12977,76.78864,335.41,60,VIIRS,2026-08-31,813
29.4606,76.88784,308.38,60,VIIRS,2026-08-31,2038
28.34651,77.2308,309.35,60,VIIRS,2026-08-31,2038
28.37152,77.22688,323.5,60,VIIRS,2026-08-31,2038
29.47525,76.859,314.13,60,VIIRS,2026-08-31,2038
29.47329,76.85825,320.78,60,VIIRS,2026-09-03,2123
29.4779,76.85962,322.24,60,VIIRS,2026-09-03,2123
29.47618,76.85554,311.96,60,VIIRS,2026-09-03,2123
29.47491,76.86111,321.58,60,VIIRS,2026-09-03,2123
29.47524,76.8587,312.67,60,VIIRS,2026-09-05,2044
